Altium Designer Pick and Place Locations
E:\Jeff Geerling projekty\CM4_carrier_GPU\CM4GPU_Altium\Project Outputs for CM4GPU_v1\Pick Place for CM4GPU_v1.csv

========================================================================================================================
File Design Information:

Date:       30.11.22
Time:       09:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","MPN","Comment","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Footprint","Description"
"U804","INA219AIDCNR","INA219AIDCNR","44.8000","49.3000","270","TopLayer","ICC_SOT23-8_290X160X100P65","IC; Current Monitor;"
"R814","TBD","0R","45.0500","53.4000","360","TopLayer","RES_0603_R","Resistor; Thick Film; 0R; 1%; TBD; TBD; TBD; Standard; SMD; 0603 (1608);"
"R813","TBD","0R","45.0500","52.0000","360","TopLayer","RES_0603_R","Resistor; Thick Film; 0R; 1%; TBD; TBD; TBD; Standard; SMD; 0603 (1608);"
"R812","GENERIC","0.012R","45.3500","56.4500","270","TopLayer","RES_1206_R","Resistor; Thick Film; GENERIC; TBD; TBD; TBD; TBD; TBD; SMD; 2512 (6432);"
"C809","TBD","100nF","44.2000","46.0500","90","TopLayer","CAP_0603_R","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C808","DNP","DNP","42.9000","52.7000","90","TopLayer","CAP_0603_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"Q451","DTA143ZET1G","DTA143ZE","32.5000","79.3000","360","TopLayer","PKG_SOT523_SC75_SOT416_P100_R","Transistor; BJT; PNP; Digital (Biased);"
"Q450","DTC143ZE","DTC143ZE","32.3000","81.6000","90","TopLayer","PKG_SOT523_SC75_SOT416_P100_R","Transistor; BJT; NPN; Digital;"
"L750","FXL0624-3R3-M","3.3uH","76.4500","19.7750","270","TopLayer","IND_SUM_0624CDMCCDS_700X660X240_R","Inductor;"
"J502","GENERIC","HDR 1x3","119.2000","33.7500","180","TopLayer","CON_HDR_P254_1X03_STR_JMP","Connector; 1 Row;"
"R702","TBD","100k","31.2000","21.1000","360","TopLayer","RES_0603_R","Resistor; Thick Film; 100k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"MECH901","977 403 015 1","M2.5, L = 3.0mm","105.0500","46.4000","180","TopLayer","PCB_WRT_9774030151","PCB; Mechanical; SMT Steel Spacer; M2.5;"
"MECH900","977 403 015 1","M2.5, L = 3.0mm","57.0500","46.4000","180","TopLayer","PCB_WRT_9774030151","PCB; Mechanical; SMT Steel Spacer; M2.5;"
"MECH902","977 403 015 1","M2.5, L = 3.0mm","105.0500","79.4000","180","TopLayer","PCB_WRT_9774030151","PCB; Mechanical; SMT Steel Spacer; M2.5;"
"MECH903","977 403 015 1","M2.5, L = 3.0mm","57.0500","79.4000","180","TopLayer","PCB_WRT_9774030151","PCB; Mechanical; SMT Steel Spacer; M2.5;"
